,titleId,title,titleType,originalTitle,startYear,runtimeMinutes,genres,moyenneVote,NombreVotes
19227,tt0058994,Doigts de Bruce Lee,movie,Lung men bei chi,1976.0,91.0,"Action,Crime,Drama",,
20168,tt0060967,Una señora estupenda,movie,Una señora estupenda,1970.0,91.0,Comedy,,
21081,tt0062936,Les 6 épreuves de la mort,movie,Si wang mo ta,1978.0,90.0,"Action,Drama",,
21082,tt0062936,Les six épreuves de la mort,movie,Si wang mo ta,1978.0,90.0,"Action,Drama",,
21121,tt0063018,Karatékas contre trafiquants d'or,movie,Hui feng hao huang jin da feng bao,1979.0,99.0,"Action,Drama",,
21150,tt0063066,Lady Yakuza: Le retour d'Oryu,movie,Hibotan bakuto: Oryû sanjô,1970.0,100.0,"Action,Crime",,
21154,tt0063074,Une larme dans le ciel,movie,Hola... señor Dios,1970.0,79.0,"Drama,Sci-Fi",,
21182,tt0063137,Les six invincibles,movie,The Invincible Six,1970.0,103.0,"Action,Adventure,Crime",,
21183,tt0063137,Les héros de Yucca,movie,The Invincible Six,1970.0,103.0,"Action,Adventure,Crime",,
21505,tt0063846,Zorango et les comancheros,movie,Zorro il cavaliere della vendetta,1971.0,92.0,"Comedy,Western",,
21566,tt0064031,L'année de la contestation,movie,Don Franco e Don Ciccio nell'anno della contestazione,1970.0,95.0,Comedy,,
21618,tt0064126,Gymkana,movie,Cannabis,1970.0,96.0,"Action,Crime,Drama",,
21619,tt0064126,Cannabis,movie,Cannabis,1970.0,96.0,"Action,Crime,Drama",,
21654,tt0064177,Le cerveau d'acier,movie,Colossus: The Forbin Project,1970.0,100.0,"Sci-Fi,Thriller",7.1,10766.0
21705,tt0064279,Une nuit de folie,movie,Egy örült éjszaka,1970.0,78.0,Comedy,,
21722,tt0064321,Les Amazones du désir,movie,The Female Bunch,1971.0,86.0,"Action,Crime,Drama",,
21773,tt0064423,Ulysses,movie,Heureux qui comme Ulysse...,1970.0,90.0,Comedy,,
21774,tt0064423,Heureux qui comme Ulysse...,movie,Heureux qui comme Ulysse...,1970.0,90.0,Comedy,,
21782,tt0064432,Une pucelle en or,movie,"Hilfe, mich liebt eine Jungfrau",1970.0,82.0,Comedy,,
21783,tt0064432,"Au secours, je suis aimé par une vierge!",movie,"Hilfe, mich liebt eine Jungfrau",1970.0,82.0,Comedy,,
21852,tt0064598,L'ange et le démon,movie,Twinky,1970.0,98.0,"Comedy,Drama,Romance",,
21853,tt0064601,Vol perdu,tvMovie,Lost Flight,1970.0,104.0,"Action,Drama",,
21881,tt0064649,Le clan des Mac Masters,movie,The McMasters,1970.0,90.0,"Action,Drama,Western",,
21901,tt0064687,Reincarnator,movie,Los monstruos del terror,1970.0,87.0,"Horror,Sci-Fi",,
21902,tt0064687,Dracula contre Frankenstein,movie,Los monstruos del terror,1970.0,87.0,"Horror,Sci-Fi",,
21929,tt0064746,OSS 117 prend des vacances,movie,OSS 117 prend des vacances,1970.0,90.0,"Action,Adventure",,
21930,tt0064746,Tous les coups sont bons pour OSS 117,movie,OSS 117 prend des vacances,1970.0,90.0,"Action,Adventure",,
21943,tt0064779,L'ours et la poupée,movie,L'ours et la poupée,1970.0,90.0,Comedy,,
21957,tt0064804,Le petit bougnat,movie,Le petit bougnat,1970.0,95.0,"Comedy,Drama",,
21959,tt0064806,La porte magique,movie,The Phantom Tollbooth,1970.0,90.0,"Adventure,Animation,Comedy",,
21966,tt0064820,Harry Plotnick seul contre tous,movie,The Plot Against Harry,1971.0,81.0,"Comedy,Crime",,
22024,tt0064964,Les sept de Marsa Matruh,movie,I 7 di Marsa Matruh,1970.0,100.0,"Action,Drama,War",,
22038,tt0065012,Pour qui les millions?,movie,"Some Will, Some Won't",1970.0,87.0,Comedy,,
22072,tt0065080,"Dillinger, vous connaissez? ou Le Temps des loups",movie,Le temps des loups,1970.0,105.0,"Action,Crime,Drama",,
22073,tt0065080,Le Temps des loups,movie,Le temps des loups,1970.0,105.0,"Action,Crime,Drama",,
22116,tt0065171,Santo et la vengeance des femmes vampires,movie,La venganza de las mujeres vampiro,1970.0,85.0,"Action,Adventure,Fantasy",,
22124,tt0065192,Le voyeur,movie,Giuochi particolari,1970.0,98.0,"Comedy,Drama",,
22148,tt0065235,"J'ai tué Einstein, messieurs",movie,"Zabil jsem Einsteina, panove",1970.0,95.0,"Comedy,Romance,Sci-Fi",,
22163,tt0065265,L'étalon,movie,L'étalon,1970.0,90.0,Comedy,,
22173,tt0065331,"Monsieur, vous êtes veuve",movie,"Pane, vy jste vdova!",1971.0,97.0,"Comedy,Sci-Fi",,
22180,tt0065360,...tick... tick... tick... et la violence explosa !,movie,...tick... tick... tick...,1970.0,100.0,"Action,Crime,Drama",,
22185,tt0065367,Sur la tombe de Sabata,movie,Abre tu fosa amigo... llega Sabata,1971.0,88.0,"Comedy,Drama,Western",,
22186,tt0065367,"Creuse ta tombe Garringo, Sabata revient",movie,Abre tu fosa amigo... llega Sabata,1971.0,88.0,"Comedy,Drama,Western",,
22190,tt0065375,Les aventures du brigadier Gérard,movie,The Adventures of Gerard,1970.0,92.0,"Adventure,Comedy,History",,
22201,tt0065405,L'Ange sauvage,movie,Angels Die Hard,1970.0,86.0,"Action,Drama",,
22209,tt0065421,Les Aristochats,movie,The AristoCats,1970.0,78.0,"Adventure,Animation,Comedy",7.1,120128.0
22211,tt0065425,Arriva Sabata...,movie,Arriva Sabata!...,1970.0,87.0,"Comedy,Western",,
22212,tt0065430,L'alieniste,movie,Azyllo Muito Louco,1970.0,100.0,"Comedy,Drama",,
22213,tt0065431,Alerte sur le Wayne,tvMovie,Assault on the Wayne,1971.0,74.0,"Action,Drama,Thriller",,
22214,tt0065431,Péril sur le Wayne,tvMovie,Assault on the Wayne,1971.0,74.0,"Action,Drama,Thriller",,
