tconst,moyenneVote,NombreVotes
tt0000012,7.4,13485
tt0000417,8.1,58529
tt0000439,7.2,21965
tt0006864,7.7,17398
tt0009018,7.6,10181
tt0009968,7.2,11462
tt0010323,8.0,73477
tt0012349,8.2,141172
tt0012364,8.0,15038
tt0013257,7.6,18039
tt0013427,7.6,13961
tt0013442,7.8,118887
tt0014341,7.7,13063
tt0014429,8.1,23971
tt0015064,8.0,15919
tt0015163,7.5,11639
tt0015324,8.2,61983
tt0015648,7.9,63365
tt0015864,8.1,123856
tt0015881,8.0,11233
tt0016220,7.5,21175
tt0016332,7.8,12405
tt0016847,8.1,17506
tt0017075,7.3,14289
tt0017136,8.3,194350
tt0017925,8.1,102695
tt0018455,8.1,55421
tt0018578,7.5,15420
tt0018737,7.7,12468
tt0018742,8.0,13883
tt0018773,8.1,37380
tt0019254,8.1,64935
tt0019421,7.8,16881
tt0019422,7.4,12055
tt0019760,8.3,29208
tt0020530,7.6,55408
tt0020629,8.1,69996
tt0020640,7.4,15690
tt0020697,7.6,17015
tt0021079,7.2,15099
tt0021577,7.2,15271
tt0021749,8.5,206909
tt0021814,7.3,62078
tt0021884,7.8,83530
tt0022100,8.3,177004
tt0022158,7.4,14642
tt0022286,7.6,23923
tt0022835,7.6,16801
tt0022913,7.8,52784
tt0022958,7.3,21654
tt0023027,7.5,13790
tt0023042,8.2,15075
tt0023238,7.1,14737
tt0023427,7.7,31939
tt0023458,7.3,11212
tt0023563,7.9,14105
tt0023622,7.9,16863
tt0023649,7.4,21716
tt0023969,7.7,64171
tt0024034,7.3,13455
tt0024184,7.6,42065
tt0024188,7.3,11701
tt0024216,7.9,93663
tt0024844,7.7,18134
tt0025316,8.1,116781
tt0025878,7.9,33832
tt0025913,7.1,19172
tt0026029,7.6,63957
tt0026138,7.8,55822
tt0026174,7.7,16697
tt0026752,7.6,25787
tt0026778,7.8,35674
tt0027125,7.7,21461
tt0027260,7.6,12628
tt0027532,7.7,10658
tt0027652,7.8,14270
tt0027977,8.5,272874
tt0027996,7.8,24165
tt0028010,7.9,27547
tt0028096,7.5,15490
tt0028333,7.5,15124
tt0028597,7.7,22421
tt0028691,7.9,11457
tt0028772,7.5,15011
tt0028950,8.1,40129
tt0029162,7.6,15162
tt0029192,8.1,10126
tt0029284,7.2,12112
tt0029583,7.6,230538
tt0029606,7.3,11455
tt0029843,7.9,56232
tt0029850,7.5,12753
tt0029870,7.9,24079
tt0029947,7.8,68290
tt0030241,7.7,19353
tt0030287,7.4,15749
tt0030341,7.7,59418
tt0030637,7.7,10094
tt0030643,7.7,10425
tt0030993,7.8,29304
tt0031210,7.4,12977
tt0031225,7.6,13047
tt0031381,8.2,346393
tt0031385,7.9,11976
tt0031398,7.2,13264
tt0031448,7.4,12266
tt0031455,7.8,12790
tt0031679,8.1,125958
tt0031725,7.8,23940
tt0031762,7.6,16489
tt0031867,7.9,16610
tt0031885,7.9,32462
tt0031951,7.1,12508
tt0031971,7.8,56531
tt0032138,8.1,450501
tt0032143,7.7,15600
tt0032145,7.5,20684
tt0032455,7.7,107956
tt0032484,7.4,24994
tt0032551,8.1,104705
tt0032553,8.4,248761
tt0032599,7.8,65658
tt0032701,7.5,15269
tt0032762,7.5,11509
tt0032904,7.8,76307
tt0032910,7.5,166698
tt0032976,8.1,159157
tt0033028,7.6,11145
tt0033045,8.0,41587
tt0033152,7.4,15261
tt0033238,7.7,11383
tt0033373,7.7,14989
tt0033467,8.3,480898
tt0033563,7.2,147154
tt0033717,7.5,20306
tt0033729,7.7,27895
tt0033804,7.7,24520
tt0033836,7.9,13667
tt0033870,7.9,170976
tt0033891,7.6,15733
tt0034167,7.7,20552
tt0034240,7.9,29763
tt0034248,7.3,44854
tt0034398,7.2,32880
tt0034492,7.3,159947
tt0034583,8.5,631102
tt0034587,7.2,27422
tt0034862,7.3,18793
tt0034881,7.1,10222
tt0035015,7.6,27840
tt0035093,7.6,20373
tt0035140,7.8,19951
tt0035169,7.4,13418
tt0035211,7.6,12493
tt0035279,7.1,28933
tt0035432,7.4,11134
tt0035446,8.1,46979
tt0035567,7.1,11422
tt0035575,7.6,17484
tt0035753,7.8,11490
tt0035979,7.3,12875
tt0036112,8.0,17430
tt0036154,7.8,16011
tt0036244,8.0,25935
tt0036323,7.5,10462
tt0036342,7.8,73081
tt0036506,8.1,11563
tt0036613,7.9,76896
tt0036775,8.3,174842
tt0036855,7.8,35958
tt0036868,8.1,74474
tt0037008,7.9,53791
tt0037017,7.6,32562
tt0037059,7.5,29551
tt0037101,7.5,15553
tt0037382,7.8,39704
tt0037415,7.2,13068
tt0037469,7.6,18715
tt0037515,7.4,17602
tt0037549,7.3,10813
tt0037558,8.0,46551
tt0037595,7.3,12924
tt0037635,7.5,15028
tt0037638,7.3,20864
tt0037674,8.3,21887
tt0037800,7.4,10667
tt0037824,7.7,11322
tt0037865,7.6,15759
tt0037884,7.9,41822
tt0037913,7.9,30106
tt0037988,7.5,15240
tt0038057,7.7,20327
tt0038109,7.5,54526
tt0038348,7.9,29046
tt0038355,7.9,93263
tt0038369,7.1,10104
tt0038559,7.6,37294
tt0038574,7.8,27476
tt0038650,8.6,527556
tt0038669,7.7,24872
tt0038733,8.0,26673
tt0038762,7.7,27168
tt0038787,7.9,110960
tt0038823,7.6,10110
tt0038854,7.4,23871
tt0038890,8.0,32095
tt0038975,7.3,11872
tt0038988,7.4,11651
tt0038991,7.3,29803
tt0039169,7.2,10011
tt0039190,7.6,22461
tt0039192,7.7,29648
tt0039224,7.5,12191
tt0039286,7.3,10280
tt0039302,7.5,23100
tt0039416,7.2,18487
tt0039417,7.8,14531
tt0039420,7.8,21762
tt0039536,7.4,10080
tt0039628,7.9,58014
tt0039631,7.8,19905
tt0039661,7.7,13990
tt0039677,7.6,12217
tt0039689,8.0,42654
tt0040068,7.3,20726
tt0040160,7.6,10281
tt0040202,7.4,10946
tt0040308,7.3,11629
tt0040338,7.6,10269
tt0040369,7.4,20582
tt0040416,7.5,19195
tt0040506,7.7,45552
tt0040522,8.2,185332
tt0040525,7.5,35282
tt0040536,7.8,14301
tt0040613,7.2,13238
tt0040636,7.5,16284
tt0040662,7.8,14355
tt0040724,7.7,36323
tt0040725,8.1,41510
tt0040746,7.9,160464
tt0040823,7.3,13245
tt0040897,8.2,137372
tt0040979,7.6,14054
tt0041090,7.4,23759
tt0041113,7.4,17495
tt0041154,8.2,20501
tt0041268,7.4,10159
tt0041452,8.1,18202
tt0041546,8.0,40795
tt0041587,7.7,11312
tt0041699,7.8,19879
tt0041716,7.3,19418
tt0041719,7.8,13987
tt0041859,7.8,10650
tt0041866,7.2,20156
tt0041959,8.1,189719
tt0041996,7.7,16325
tt0042041,8.1,37197
tt0042192,8.2,144701
tt0042208,7.8,31620
tt0042276,7.5,13124
tt0042286,7.1,10202
tt0042332,7.3,181090
tt0042369,7.2,13651
tt0042451,7.1,13058
tt0042530,7.6,15866
tt0042531,7.7,13647
tt0042546,7.9,59721
tt0042593,7.9,37378
tt0042619,7.7,13195
tt0042788,7.8,15965
tt0042804,8.2,22892
tt0042876,8.2,189374
tt0043014,8.4,248856
tt0043132,7.5,10660
tt0043137,7.6,23141
tt0043208,8.5,30001
tt0043265,7.7,86787
tt0043274,7.3,160739
tt0043278,7.1,38156
tt0043313,8.0,10180
tt0043338,8.1,40836
tt0043456,7.7,87946
tt0043686,8.0,13728
tt0043924,7.7,25886
tt0043949,7.1,17664
tt0044008,8.1,27524
tt0044079,7.9,145585
tt0044081,7.9,117425
tt0044391,7.7,17176
tt0044413,7.2,10499
tt0044706,7.9,113614
tt0044741,8.3,96387
tt0044829,7.5,16329
tt0044837,8.0,23141
tt0044876,7.2,11235
tt0044953,7.3,13208
tt0045061,7.7,44328
tt0045152,8.3,272540
tt0045274,8.2,29625
tt0045296,7.2,13073
tt0045537,7.4,13157
tt0045555,7.9,31051
tt0045591,7.2,11559
tt0045793,7.6,52758
tt0045810,7.1,45302
tt0045897,7.2,24426
tt0045943,7.2,13572
tt0046022,7.9,11650
tt0046183,7.3,159753
tt0046187,7.6,16946
tt0046250,8.0,153114
tt0046268,8.1,70416
tt0046303,7.6,46053
tt0046345,7.5,16959
tt0046359,7.9,60229
tt0046438,8.1,73887
tt0046478,8.1,27149
tt0046487,7.3,21155
tt0046511,7.3,13152
tt0046521,7.8,22077
tt0046672,7.2,38902
tt0046816,7.7,31257
tt0046889,7.4,11853
tt0046911,8.1,71486
tt0046912,8.2,197830
tt0047030,7.3,10179
tt0047034,7.6,43087
tt0047136,7.6,20722
tt0047296,8.1,172311
tt0047396,8.5,546040
tt0047437,7.6,73217
tt0047445,8.3,19078
tt0047472,7.3,28340
tt0047478,8.6,383867
tt0047522,7.5,20323
tt0047528,8.0,68306
tt0047573,7.2,25566
tt0047673,7.5,55152
tt0047708,8.5,20030
tt0047811,7.6,17526
tt0047834,7.2,20121
tt0047849,7.7,25295
tt0047885,7.4,10230
tt0047892,7.6,13875
tt0047985,7.4,11401
tt0048021,8.1,38056
tt0048028,7.8,50350
tt0048140,7.1,20204
tt0048261,7.5,22930
tt0048280,7.3,155478
tt0048281,7.6,32926
tt0048342,7.3,12630
tt0048347,7.3,12769
tt0048356,7.7,28860
tt0048380,7.6,19016
tt0048424,8.0,102638
tt0048434,8.6,22617
tt0048452,8.2,18204
tt0048473,8.2,40164
tt0048545,7.6,100823
tt0048605,7.1,44532
tt0048641,7.7,15182
tt0048673,7.1,10670
tt0048728,7.4,83657
tt0048801,7.4,11439
tt0048956,8.2,16822
tt0048977,7.4,16645
tt0048980,8.1,20986
tt0049096,7.8,14500
tt0049223,7.5,55438
tt0049261,7.6,43820
tt0049366,7.7,57424
tt0049406,7.9,101947
tt0049408,7.4,28735
tt0049456,7.3,12853
tt0049470,7.4,72604
tt0049513,7.3,23149
tt0049730,7.8,100261
tt0049833,7.9,81364
tt0049902,8.2,28976
tt0049966,7.3,14105
tt0050051,8.3,12703
tt0050083,9.0,924778
tt0050086,7.6,22924
tt0050105,7.4,34632
tt0050188,7.8,10138
tt0050212,8.1,241860
tt0050356,7.4,12852
tt0050371,8.2,18325
tt0050468,7.1,18242
tt0050490,7.3,10030
tt0050539,7.6,21009
tt0050613,8.0,58102
tt0050634,8.3,21223
tt0050658,7.1,17763
tt0050706,7.7,25217
tt0050766,7.4,16443
tt0050783,8.1,54936
tt0050798,7.2,15950
tt0050825,8.4,225966
tt0050976,8.1,208469
tt0050986,8.1,120452
tt0051036,8.0,38009
tt0051189,8.3,10790
tt0051201,8.4,149909
tt0051207,7.4,33431
tt0051365,7.5,11456
tt0051378,7.9,30212
tt0051383,7.9,13367
tt0051411,7.9,22713
tt0051459,7.9,55318
tt0051525,7.6,19076
tt0051554,7.2,29664
tt0051622,7.1,26816
tt0051808,8.0,44016
tt0051878,7.3,12928
tt0051994,7.9,18416
tt0052080,7.7,14228
tt0052151,7.3,13876
tt0052216,7.9,12200
tt0052311,7.9,112652
tt0052357,8.2,444886
tt0052451,7.3,11798
tt0052520,9.0,100533
tt0052561,8.0,75180
tt0052572,8.4,17637
tt0052600,8.2,11820
tt0052618,8.1,263421
tt0052738,7.4,14142
tt0052893,7.8,37848
tt0052902,7.1,12289
tt0052918,7.8,19109
tt0053114,8.5,10180
tt0053125,8.3,360352
tt0053131,7.5,12236
tt0053134,7.8,11749
tt0053137,7.1,15063
tt0053143,7.2,16664
tt0053146,7.4,12850
tt0053168,7.6,26534
tt0053172,7.4,20196
tt0053198,8.0,131452
tt0053221,8.0,71005
tt0053270,7.2,13111
tt0053285,7.2,167000
tt0053291,8.2,295039
tt0053318,7.5,18179
tt0053459,7.6,37254
tt0053472,7.7,91091
tt0053479,8.4,18049
tt0053488,8.6,36964
tt0053502,7.5,42945
tt0053604,8.3,208891
tt0053619,7.7,35358
tt0053779,8.0,82545
tt0053793,7.7,13733
tt0053946,8.1,34251
tt0053976,8.0,32799
tt0054047,7.7,106623
tt0054067,7.1,18970
tt0054130,7.9,25347
tt0054167,7.6,41962
tt0054189,7.7,22290
tt0054195,7.4,11965
tt0054215,8.5,752381
tt0054248,8.2,24199
tt0054331,7.9,147923
tt0054357,7.1,19031
tt0054387,7.5,46726
tt0054389,7.4,21340
tt0054407,8.5,21896
tt0054443,7.3,20094
tt0054460,8.0,14838
tt0054533,8.4,12549
tt0054599,7.6,10662
tt0054632,7.6,26052
tt0054698,7.5,198675
tt0054743,7.8,19465
tt0054749,7.7,13143
tt0054821,7.7,12707
tt0054847,7.2,16544
tt0054953,7.5,57704
tt0054997,7.9,88987
tt0055018,7.7,34614
tt0055031,8.3,91584
tt0055032,7.7,45860
tt0055184,7.2,24523
tt0055254,7.3,189797
tt0055256,7.8,23845
tt0055257,7.1,14282
tt0055277,7.2,25276
tt0055353,8.0,10194
tt0055471,7.7,23395
tt0055499,7.9,28438
tt0055572,7.3,19815
tt0055601,8.0,27166
tt0055614,7.6,124734
tt0055630,8.2,137618
tt0055662,7.3,11733
tt0055798,7.8,20452
tt0055824,7.7,33299
tt0055852,7.8,29539
tt0055895,7.8,14572
tt0055913,7.9,15035
tt0055928,7.2,186012
tt0056058,8.6,79592
tt0056059,7.1,14980
tt0056085,7.1,24485
tt0056111,8.0,41736
tt0056119,8.2,38600
tt0056172,8.3,329066
tt0056193,7.5,112462
tt0056195,7.5,10513
tt0056197,7.7,61135
tt0056215,7.8,10941
tt0056217,8.1,85718
tt0056218,7.9,82574
tt0056241,8.1,21432
tt0056262,7.7,19961
tt0056264,7.2,18664
tt0056291,7.4,24393
tt0056412,7.4,15504
tt0056443,8.0,42756
tt0056444,8.0,11372
tt0056512,8.2,13574
tt0056592,8.3,343213
tt0056663,7.8,36461
tt0056687,8.0,64921
tt0056732,8.0,36953
tt0056736,7.7,23388
tt0056751,8.4,40671
tt0056801,8.0,129251
tt0056869,7.6,212866
tt0056923,7.8,89714
tt0057012,8.3,537560
tt0057058,7.8,11072
tt0057076,7.3,150953
tt0057091,7.9,32290
tt0057115,8.2,268675
tt0057129,7.4,44230
tt0057163,7.8,25016
tt0057171,7.2,10797
tt0057187,7.3,22919
tt0057193,7.5,48784
tt0057197,7.3,32726
tt0057251,7.5,14591
tt0057298,7.1,17489
tt0057345,7.4,37451
tt0057358,8.0,28269
tt0057427,7.6,25649
tt0057490,7.8,14941
tt0057495,7.3,13578
tt0057546,7.1,110570
tt0057565,8.4,60164
tt0057611,7.7,22025
tt0057729,8.0,22899
tt0057733,7.6,25706
tt0057751,7.4,17809
tt0057773,7.8,17855
tt0057831,7.6,24866
tt0057869,7.6,28041
tt0057877,7.7,16505
tt0058003,7.4,18537
tt0058083,8.0,26036
tt0058092,7.3,12998
tt0058135,7.1,14583
tt0058150,7.7,209181
tt0058182,7.5,49688
tt0058213,7.5,16762
tt0058249,7.4,10116
tt0058279,7.9,21431
tt0058329,7.1,56167
tt0058331,7.8,192725
tt0058335,7.4,11948
tt0058385,7.7,105002
tt0058404,7.6,13618
tt0058430,7.9,23939
tt0058450,7.8,33226
tt0058461,7.9,243967
tt0058536,8.0,40096
tt0058567,7.1,14209
tt0058576,7.8,18129
tt0058586,7.3,32455
tt0058604,8.2,11489
tt0058625,8.4,24190
tt0058715,7.6,14436
tt0058777,7.7,44521
tt0058805,8.2,14527
tt0058812,7.8,13173
tt0058815,7.4,18308
tt0058888,8.3,22312
tt0058946,8.1,71003
tt0058985,7.6,10561
tt0058997,7.3,10810
tt0059012,7.6,10707
tt0059026,8.3,47315
tt0059037,7.2,18972
tt0059043,7.5,12520
tt0059113,7.9,84581
tt0059183,7.5,23186
tt0059229,7.4,15277
tt0059243,7.2,20773
tt0059260,7.1,21780
tt0059274,7.8,15906
tt0059309,7.3,10847
tt0059319,7.2,18642
tt0059527,8.2,10152
tt0059550,8.4,15689
tt0059575,7.6,11265
tt0059578,8.2,288480
tt0059592,7.4,38813
tt0059646,7.6,59634
tt0059711,7.3,10074
tt0059719,7.8,11350
tt0059740,7.1,20043
tt0059742,8.1,276357
tt0059749,7.5,19647
tt0059825,7.8,20580
tt0059885,7.1,15667
tt0059968,7.5,27788
tt0060009,7.9,12302
tt0060019,7.9,14293
tt0060028,8.4,96958
tt0060107,8.0,58962
tt0060138,7.7,24011
tt0060176,7.4,70502
tt0060196,8.8,852730
tt0060232,7.1,14407
tt0060277,7.9,12622
tt0060315,7.2,32626
tt0060345,8.3,62864
tt0060390,7.2,46541
tt0060424,7.2,16326
tt0060472,7.2,11202
tt0060474,7.9,21315
tt0060522,7.5,30952
tt0060550,8.1,23313
tt0060584,8.3,14342
tt0060665,7.7,38718
tt0060675,7.4,18268
tt0060802,7.6,14445
tt0060827,8.0,136172
tt0060862,7.3,19796
tt0060934,7.5,17229
tt0060955,7.6,23717
tt0060959,7.2,16620
tt0061065,7.9,11224
tt0061101,7.1,10170
tt0061138,7.5,12718
tt0061184,8.0,82372
tt0061287,8.5,15697
tt0061395,7.6,51578
tt0061418,7.7,124731
tt0061495,7.3,10350
tt0061512,8.0,194281
tt0061578,7.7,81714
tt0061589,7.9,10657
tt0061619,7.5,32093
tt0061722,8.0,296603
tt0061735,7.8,51153
tt0061770,7.4,14793
tt0061781,7.4,12836
tt0061809,7.9,30706
tt0061811,7.9,87433
tt0061847,8.3,14895
tt0061852,7.6,206438
tt0061882,7.2,10701
tt0061955,7.2,10934
tt0061996,7.7,13587
tt0062136,7.8,27729
tt0062138,7.3,24733
tt0062229,8.0,62431
tt0062376,7.6,21307
tt0062407,7.4,15221
tt0062453,7.2,10662
tt0062467,7.7,35221
tt0062550,8.5,10396
tt0062588,8.7,10022
tt0062622,8.3,753418
tt0062687,7.2,15219
tt0062695,7.5,15949
tt0062759,8.2,17161
tt0062765,7.4,78849
tt0062873,7.7,12949
tt0062952,7.4,12334
tt0062994,7.4,26303
tt0063032,7.7,19266
tt0063227,7.8,35536
tt0063350,7.8,145283
tt0063374,7.6,38842
tt0063385,7.4,43081
tt0063415,7.4,45555
tt0063442,8.0,204859
tt0063462,7.5,62746
tt0063518,7.6,36302
tt0063522,8.0,248272
tt0063555,7.6,15183
tt0063611,8.0,15695
tt0063633,8.0,11900
tt0063663,7.6,15037
tt0063671,7.3,12836
tt0063759,7.5,23715
tt0063823,7.4,28951
tt0063829,7.1,10463
tt0063850,7.4,25873
tt0063929,8.8,82468
tt0063939,7.6,22787
tt0063950,7.9,44671
tt0063951,8.1,16263
tt0064040,8.1,27692
tt0064115,8.0,232188
tt0064116,8.5,368072
tt0064117,7.2,12486
tt0064118,7.4,10451
tt0064177,7.1,10766
tt0064276,7.2,120494
tt0064349,7.3,23215
tt0064505,7.2,52379
tt0064541,7.9,24340
tt0064612,7.8,15369
tt0064665,7.8,126640
tt0064793,7.6,10861
tt0064816,7.1,14986
tt0064840,7.6,10802
tt0065051,7.4,13599
tt0065063,7.2,32207
tt0065088,7.8,22006
tt0065126,7.4,53352
tt0065143,7.1,25790
tt0065207,7.6,65470
tt0065214,7.9,92998
tt0065234,8.1,32709
tt0065314,8.3,10754
tt0065421,7.1,120118
tt0065446,7.2,10968
tt0065528,7.1,27535
